datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-05-08 16:00:00+00:00,2293.2,2294.37,2286.42,2289.93,13453.9968,30812953.862334,113113,5715.0593,13088250.546816
2026-05-08 17:00:00+00:00,2289.93,2315.63,2289.39,2304.86,23598.5736,54386695.884674,180787,11210.8339,25837177.123357
2026-05-08 18:00:00+00:00,2304.87,2321.22,2304.87,2313.49,19654.0122,45508868.190232,123049,9308.985,21557292.453528
2026-05-08 19:00:00+00:00,2313.49,2320.36,2312.48,2316.05,19777.938,45811970.441366,90240,6109.3893,14150222.495039
2026-05-08 20:00:00+00:00,2316.06,2317.0,2305.36,2306.65,26417.6209,61048867.47632,73232,4837.0026,11178334.141022
2026-05-08 21:00:00+00:00,2306.64,2314.94,2304.21,2314.63,14078.5061,32519324.932045,63932,4076.2867,9415396.369065
2026-05-08 22:00:00+00:00,2314.62,2319.15,2310.26,2310.98,12732.9721,29470879.39388,64876,3313.5448,7670897.614056
2026-05-08 23:00:00+00:00,2310.98,2310.98,2303.19,2307.06,12138.5681,28003945.425697,48132,2377.0112,5483081.967037
2026-05-09 00:00:00+00:00,2307.07,2312.03,2304.19,2308.55,11551.954,26669474.303596,50114,3295.7544,7608942.705963
2026-05-09 01:00:00+00:00,2308.55,2318.45,2308.23,2314.22,10857.7767,25117545.608498,55141,4204.8466,9729781.144482
2026-05-09 02:00:00+00:00,2314.23,2320.3,2313.8,2317.07,9468.173,21937423.195109,47781,3714.6436,8608034.073221
2026-05-09 03:00:00+00:00,2317.07,2320.77,2312.6,2315.33,7290.8151,16886477.528564,41969,2655.9249,6151644.620872
2026-05-09 04:00:00+00:00,2315.33,2325.33,2311.27,2312.35,27184.841,62972776.734262,85648,5641.8045,13077120.2823
2026-05-09 05:00:00+00:00,2312.35,2318.29,2310.9,2314.82,5918.4334,13702168.424253,30901,2528.1583,5853094.868276
2026-05-09 06:00:00+00:00,2314.82,2319.59,2312.95,2314.35,10307.9116,23876788.474309,47295,6630.3141,15358198.046666
2026-05-09 07:00:00+00:00,2314.35,2318.56,2311.34,2314.69,8349.905,19333239.511916,35350,4844.7905,11217705.907043
2026-05-09 08:00:00+00:00,2314.69,2320.53,2314.23,2317.16,8698.3308,20165312.908829,36899,4639.833,10756191.903768
2026-05-09 09:00:00+00:00,2317.16,2317.52,2311.37,2313.28,6746.958,15612745.058916,37116,2214.2156,5123811.357605
2026-05-09 10:00:00+00:00,2313.28,2315.03,2310.24,2312.5,4778.5919,11050569.006121,26433,1418.4126,3279977.43777
2026-05-09 11:00:00+00:00,2312.49,2315.56,2312.49,2314.57,5435.8473,12580557.532148,22168,1553.6374,3595476.626347
