datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-04-28 13:00:00+00:00,3.557,3.587,3.54,3.573,53127.47,189358.27948,1950,26079.25,92974.90248
2026-04-28 14:00:00+00:00,3.572,3.577,3.547,3.577,21873.7,77913.43284,1283,11589.2,41299.00328
2026-04-28 15:00:00+00:00,3.578,3.586,3.524,3.527,72322.64,255931.62553,1881,35832.9,126821.07409
2026-04-28 16:00:00+00:00,3.53,3.543,3.524,3.535,30448.07,107603.59983,1084,18173.43,64269.89179
2026-04-28 17:00:00+00:00,3.534,3.534,3.475,3.486,91394.19,319712.46738,3057,28601.41,100008.14259
2026-04-28 18:00:00+00:00,3.485,3.533,3.485,3.529,38833.3,136288.29112,1546,20735.39,72769.33769
2026-04-28 19:00:00+00:00,3.531,3.565,3.513,3.561,44002.39,155742.87295,1666,28540.42,101104.74757
2026-04-28 20:00:00+00:00,3.561,3.595,3.561,3.591,46864.48,167901.68205,1746,31612.81,113248.89547
2026-04-28 21:00:00+00:00,3.59,3.61,3.565,3.567,79725.66,286348.35566,1739,21955.47,78914.75975
2026-04-28 22:00:00+00:00,3.569,3.588,3.564,3.572,21388.22,76526.79612,992,10164.45,36371.40205
2026-04-28 23:00:00+00:00,3.571,3.573,3.554,3.57,24839.5,88573.21433,1049,12281.08,43804.71184
2026-04-29 00:00:00+00:00,3.568,3.575,3.559,3.567,12220.76,43593.28369,904,6639.65,23686.22994
2026-04-29 01:00:00+00:00,3.566,3.587,3.557,3.572,17758.81,63332.76811,1047,9948.25,35501.14113
2026-04-29 02:00:00+00:00,3.572,3.587,3.566,3.572,18509.54,66264.62193,799,9586.1,34329.13409
2026-04-29 03:00:00+00:00,3.571,3.611,3.563,3.61,31317.68,112099.34328,1379,16172.73,57933.15007
2026-04-29 04:00:00+00:00,3.612,3.631,3.588,3.622,34370.54,124139.99007,1486,18580.69,67129.73884
2026-04-29 05:00:00+00:00,3.623,3.626,3.605,3.612,27263.69,98640.05475,1107,16423.23,59453.81591
2026-04-29 06:00:00+00:00,3.612,3.618,3.589,3.595,72245.8,260354.98614,2096,22825.97,82327.17995
2026-04-29 07:00:00+00:00,3.594,3.594,3.561,3.563,34317.68,122671.43851,1632,13586.18,48579.08018
2026-04-29 08:00:00+00:00,3.563,3.571,3.55,3.552,41762.93,148629.64595,1215,11933.53,42475.01821
2026-04-29 09:00:00+00:00,3.552,3.619,3.552,3.613,52397.91,188033.1274,2237,30476.23,109341.09426
2026-04-29 10:00:00+00:00,3.614,3.622,3.572,3.574,52941.8,190715.08246,2171,22309.96,80420.55566
2026-04-29 11:00:00+00:00,3.572,3.585,3.55,3.557,43022.84,153467.43873,1663,20569.12,73413.31348
2026-04-29 12:00:00+00:00,3.558,3.558,3.507,3.52,63844.55,225286.04772,2632,21009.78,74234.27527
2026-04-29 13:00:00+00:00,3.519,3.524,3.493,3.517,115169.79,404437.93965,2646,78679.52,276422.65418
2026-04-29 14:00:00+00:00,3.517,3.531,3.499,3.501,30897.04,108606.79193,1446,12210.66,42974.01896
2026-04-29 15:00:00+00:00,3.5,3.504,3.44,3.453,55999.69,194145.04161,2294,22517.6,78027.29669
2026-04-29 16:00:00+00:00,3.452,3.479,3.452,3.461,21895.83,75892.82315,1233,12643.89,43838.5992
2026-04-29 17:00:00+00:00,3.462,3.489,3.462,3.478,23164.78,80486.52786,1023,11317.86,39338.34665
2026-04-29 18:00:00+00:00,3.479,3.482,3.384,3.447,128675.79,439516.79079,4999,60445.31,206244.79187
2026-04-29 19:00:00+00:00,3.448,3.453,3.42,3.439,17825.7,61290.43415,919,9145.1,31444.31894
2026-04-29 20:00:00+00:00,3.44,3.467,3.438,3.451,28671.16,98927.91351,1157,15120.52,52191.94809
2026-04-29 21:00:00+00:00,3.45,3.484,3.445,3.466,41521.16,144044.55055,1271,14298.12,49595.51423
2026-04-29 22:00:00+00:00,3.467,3.475,3.459,3.468,30246.91,104897.40523,1054,6932.94,24045.28461
2026-04-29 23:00:00+00:00,3.468,3.483,3.457,3.475,63300.87,219750.88584,3674,15154.4,52589.788
2026-04-30 00:00:00+00:00,3.475,3.499,3.468,3.491,56870.79,197948.91214,4317,13270.02,46214.41389
2026-04-30 01:00:00+00:00,3.491,3.497,3.474,3.482,29380.15,102351.98666,1888,11427.3,39814.01437
2026-04-30 02:00:00+00:00,3.482,3.49,3.443,3.443,74610.31,257751.6133,2530,48792.73,168362.23116
2026-04-30 03:00:00+00:00,3.442,3.45,3.424,3.44,28403.45,97535.81281,1313,8570.35,29448.52842
2026-04-30 04:00:00+00:00,3.439,3.439,3.408,3.415,31508.95,107776.7234,1290,12859.56,43999.61113
2026-04-30 05:00:00+00:00,3.415,3.438,3.404,3.425,27026.87,92448.04869,1158,19303.45,66017.42557
2026-04-30 06:00:00+00:00,3.426,3.453,3.42,3.448,28497.83,98012.28222,1394,15543.74,53447.30202
2026-04-30 07:00:00+00:00,3.448,3.476,3.444,3.475,17222.97,59584.99866,1278,9965.54,34495.13531
2026-04-30 08:00:00+00:00,3.474,3.479,3.448,3.455,17994.24,62401.6381,890,7820.04,27137.06704
2026-04-30 09:00:00+00:00,3.455,3.487,3.454,3.474,14074.55,48912.59439,1081,8437.71,29327.2907
2026-04-30 10:00:00+00:00,3.474,3.482,3.441,3.456,14954.34,51678.58057,842,6338.13,21895.96962
2026-04-30 11:00:00+00:00,3.456,3.485,3.452,3.478,58742.91,203779.5369,1895,26012.82,90232.80274
2026-04-30 12:00:00+00:00,3.478,3.518,3.478,3.487,49713.61,174108.86103,1749,21319.95,74620.78201
2026-04-30 13:00:00+00:00,3.488,3.498,3.467,3.473,25426.23,88430.58606,1090,14135.57,49173.07926
2026-04-30 14:00:00+00:00,3.472,3.48,3.428,3.44,59910.86,206411.4933,2161,24961.5,86038.08656
2026-04-30 15:00:00+00:00,3.44,3.474,3.434,3.469,17264.64,59645.20098,794,9797.27,33845.51525
2026-04-30 16:00:00+00:00,3.468,3.472,3.44,3.445,13434.05,46472.95193,695,9038.79,31279.51079
2026-04-30 17:00:00+00:00,3.444,3.455,3.436,3.443,8005.03,27578.58329,551,3574.51,12318.67961
2026-04-30 18:00:00+00:00,3.442,3.451,3.432,3.433,13511.89,46486.21166,625,9232.74,31764.21777
2026-04-30 19:00:00+00:00,3.432,3.446,3.43,3.432,12366.44,42508.33732,639,7891.91,27128.98649
2026-04-30 20:00:00+00:00,3.431,3.436,3.417,3.418,16051.55,55038.15251,720,9187.92,31515.72123
2026-04-30 21:00:00+00:00,3.418,3.426,3.407,3.407,27193.86,92925.43063,783,8214.69,28074.74104
2026-04-30 22:00:00+00:00,3.409,3.423,3.406,3.408,12748.99,43539.83746,704,7687.31,26255.44485
2026-04-30 23:00:00+00:00,3.409,3.432,3.404,3.422,17030.45,58229.91697,723,10572.92,36173.92464
2026-05-01 00:00:00+00:00,3.422,3.45,3.422,3.438,14168.9,48700.57633,669,11332.79,38948.1805
2026-05-01 01:00:00+00:00,3.439,3.455,3.433,3.45,9608.64,33109.71068,569,4304.9,14840.14393
2026-05-01 02:00:00+00:00,3.451,3.452,3.428,3.444,17631.23,60615.89701,705,12227.94,42022.99231
2026-05-01 03:00:00+00:00,3.443,3.494,3.437,3.469,17078.13,59370.58079,1167,7181.61,24974.73275
2026-05-01 04:00:00+00:00,3.47,3.488,3.46,3.464,10889.82,37818.45046,648,3762.01,13065.67747
2026-05-01 05:00:00+00:00,3.464,3.478,3.456,3.458,5811.4,20151.25819,389,3609.14,12517.65073
2026-05-01 06:00:00+00:00,3.458,3.462,3.434,3.442,10993.03,37914.00132,813,5066.63,17477.11305
2026-05-01 07:00:00+00:00,3.441,3.55,3.429,3.533,143793.01,502832.53193,6085,71883.17,251708.15917
2026-05-01 08:00:00+00:00,3.532,3.58,3.525,3.577,89929.2,319543.97948,3370,50222.46,178395.12026
2026-05-01 09:00:00+00:00,3.578,3.588,3.556,3.564,54054.23,193002.73193,2432,32337.19,115450.80556
2026-05-01 10:00:00+00:00,3.565,3.599,3.555,3.589,55973.17,200464.85445,2897,32548.6,116578.33247
2026-05-01 11:00:00+00:00,3.59,3.613,3.555,3.568,46087.33,165215.77306,2120,21382.48,76780.16067
2026-05-01 12:00:00+00:00,3.569,3.629,3.568,3.619,107544.73,387427.11635,3907,58862.88,212047.96964
2026-05-01 13:00:00+00:00,3.619,3.701,3.616,3.681,141818.53,520159.80724,5327,75442.1,276706.52146
2026-05-01 14:00:00+00:00,3.681,3.698,3.609,3.625,107587.69,392396.93311,3960,39325.33,143523.36343
2026-05-01 15:00:00+00:00,3.624,3.639,3.602,3.637,51231.96,185601.79247,2353,23803.44,86265.49578
2026-05-01 16:00:00+00:00,3.637,3.653,3.584,3.595,45394.72,163800.97781,1991,24505.95,88447.06347
2026-05-01 17:00:00+00:00,3.596,3.605,3.583,3.598,22461.39,80711.94728,1057,16300.79,58579.91869
2026-05-01 18:00:00+00:00,3.599,3.616,3.588,3.607,27845.48,100317.37888,1477,14845.0,53507.37264
2026-05-01 19:00:00+00:00,3.609,3.647,3.606,3.642,49274.18,179160.8794,1589,24437.51,88843.3729
2026-05-01 20:00:00+00:00,3.642,3.667,3.632,3.643,38316.02,139777.18652,2310,20278.8,73996.48326
2026-05-01 21:00:00+00:00,3.644,3.686,3.628,3.673,27453.42,100387.80165,1179,16550.71,60538.06009
2026-05-01 22:00:00+00:00,3.674,3.701,3.642,3.651,36611.68,134826.0954,1492,15018.27,55296.18877
2026-05-01 23:00:00+00:00,3.65,3.655,3.63,3.647,17647.4,64243.91944,1011,9357.59,34071.07834
2026-05-02 00:00:00+00:00,3.647,3.663,3.636,3.649,56059.34,204847.81213,1641,40829.46,149279.87034
2026-05-02 01:00:00+00:00,3.648,3.692,3.646,3.689,18276.61,67074.06022,1009,9725.6,35687.92805
2026-05-02 02:00:00+00:00,3.689,3.726,3.676,3.712,36726.11,135885.96454,1647,19564.32,72450.74147
2026-05-02 03:00:00+00:00,3.713,3.734,3.686,3.723,44224.43,164242.1284,2346,30238.95,112315.74836
2026-05-02 04:00:00+00:00,3.724,3.771,3.707,3.745,88945.4,332725.52745,4788,48083.23,179930.91409
2026-05-02 05:00:00+00:00,3.746,3.785,3.727,3.779,84756.75,318194.16048,3983,48208.04,181049.71901
2026-05-02 06:00:00+00:00,3.781,3.823,3.752,3.786,165866.18,628845.86396,7768,103144.72,391374.62074
2026-05-02 07:00:00+00:00,3.785,3.793,3.758,3.76,80449.84,303448.42351,3239,31971.12,120596.08102
2026-05-02 08:00:00+00:00,3.761,3.786,3.725,3.776,47458.84,177802.4993,1974,23881.55,89525.0714
2026-05-02 09:00:00+00:00,3.777,3.872,3.777,3.863,94381.53,362793.51568,3907,41243.66,158392.25175
2026-05-02 10:00:00+00:00,3.862,3.897,3.823,3.832,88647.64,342064.14036,3799,48081.1,185648.93514
2026-05-02 11:00:00+00:00,3.832,3.835,3.758,3.77,97119.4,367864.35266,3694,48553.16,183829.48831
2026-05-02 12:00:00+00:00,3.77,3.819,3.767,3.783,111315.44,422297.51435,2955,57024.98,216394.94404
2026-05-02 13:00:00+00:00,3.784,3.787,3.74,3.75,112493.97,422580.75683,3888,46097.17,173191.95256
2026-05-02 14:00:00+00:00,3.75,3.804,3.748,3.789,86027.54,325904.33118,2558,46543.37,176332.91776
2026-05-02 15:00:00+00:00,3.789,3.859,3.789,3.858,97151.72,371122.55837,3501,45424.49,173650.28634
2026-05-02 16:00:00+00:00,3.857,3.862,3.782,3.824,90769.36,345989.22694,3224,52247.57,199410.32136
2026-05-02 17:00:00+00:00,3.825,3.826,3.77,3.779,45859.84,174231.26597,1841,23190.06,88164.04219
2026-05-02 18:00:00+00:00,3.778,3.809,3.76,3.795,31321.72,118767.14453,1289,20896.24,79265.71077
2026-05-02 19:00:00+00:00,3.793,3.817,3.786,3.817,22509.44,85541.90943,976,11342.01,43140.53124
2026-05-02 20:00:00+00:00,3.818,3.818,3.793,3.799,28270.48,107432.5868,929,8175.0,31078.02021
2026-05-02 21:00:00+00:00,3.8,3.824,3.789,3.792,20082.04,76359.4729,1164,10409.63,39574.61336
2026-05-02 22:00:00+00:00,3.793,3.8,3.767,3.794,24925.85,94289.57956,1319,11990.21,45355.46769
2026-05-02 23:00:00+00:00,3.794,3.825,3.768,3.8,52866.67,200794.88489,2192,36068.96,136971.74612
2026-05-03 00:00:00+00:00,3.8,3.806,3.77,3.782,74591.75,282067.05818,1559,42150.5,159403.67112
2026-05-03 01:00:00+00:00,3.78,3.785,3.749,3.757,16494.46,62175.93442,945,8673.1,32704.46171
2026-05-03 02:00:00+00:00,3.758,3.762,3.727,3.742,95139.04,355350.63433,1777,55593.97,207580.63705
2026-05-03 03:00:00+00:00,3.742,3.742,3.718,3.726,20957.52,78110.63781,799,7737.96,28838.04654
2026-05-03 04:00:00+00:00,3.725,3.77,3.723,3.758,17569.77,65907.79036,779,12193.95,45744.48963
