datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-04-28 13:00:00+00:00,55.1,55.11,54.83,54.99,11312.065,621732.92667,6417,5231.502,287630.62164
2026-04-28 14:00:00+00:00,54.98,54.99,54.67,54.92,12218.811,670049.70743,6489,3271.008,179446.38019
2026-04-28 15:00:00+00:00,54.92,55.11,54.91,55.07,9907.499,544890.30153,4734,3902.667,214637.64004
2026-04-28 16:00:00+00:00,55.07,55.17,54.99,55.09,8982.41,494711.8937,4309,3622.51,199488.72559
2026-04-28 17:00:00+00:00,55.09,55.28,54.98,55.17,7606.814,419279.3462,3754,3738.178,206071.41596
2026-04-28 18:00:00+00:00,55.18,55.31,55.15,55.27,8114.058,448293.81942,3368,3970.681,219381.80824
2026-04-28 19:00:00+00:00,55.28,55.46,55.18,55.44,15905.577,880286.13267,4360,6183.284,342114.26989
2026-04-28 20:00:00+00:00,55.45,55.55,55.45,55.53,4331.783,240453.17844,2244,2628.105,145888.49572
2026-04-28 21:00:00+00:00,55.53,55.6,55.44,55.55,7226.932,401290.60129,2705,3143.456,174542.88425
2026-04-28 22:00:00+00:00,55.55,55.63,55.4,55.45,5814.755,322853.06023,2716,1769.45,98245.52861
2026-04-28 23:00:00+00:00,55.45,55.79,55.43,55.71,11836.091,658267.01832,3539,7238.584,402558.26214
2026-04-29 00:00:00+00:00,55.7,55.74,55.57,55.68,5834.404,324769.97128,3488,3107.698,172967.64444
2026-04-29 01:00:00+00:00,55.68,55.74,55.5,55.67,5599.549,311519.60798,3271,2719.747,151355.13079
2026-04-29 02:00:00+00:00,55.67,55.77,55.54,55.58,4812.031,267699.8701,2624,2431.107,135269.40732
2026-04-29 03:00:00+00:00,55.57,55.94,55.57,55.93,7090.864,395456.56222,4079,5397.499,301031.71374
2026-04-29 04:00:00+00:00,55.94,56.09,55.84,55.99,7492.63,419368.84024,3746,3760.273,210470.82702
2026-04-29 05:00:00+00:00,55.99,56.02,55.89,55.95,8536.413,477548.81983,3077,2626.951,146969.94382
2026-04-29 06:00:00+00:00,55.95,55.97,55.82,55.91,6824.477,381479.0575,2990,2552.707,142693.96806
2026-04-29 07:00:00+00:00,55.92,56.1,55.85,56.02,4819.901,269825.27137,3016,2216.927,124118.66264
2026-04-29 08:00:00+00:00,56.02,56.05,55.88,55.91,6503.775,363903.04203,3258,3198.494,178973.71397
2026-04-29 09:00:00+00:00,55.9,57.3,55.87,57.29,53337.664,3025245.56476,15427,31581.048,1789963.40481
2026-04-29 10:00:00+00:00,57.29,57.71,57.02,57.18,55290.252,3173983.10649,18776,26850.132,1540889.90495
