datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-04-28 13:00:00+00:00,83.68,84.0,83.2,83.55,86257.387,7204854.87083,28724,42838.262,3578437.83702
2026-04-28 14:00:00+00:00,83.54,83.54,82.98,83.4,133500.132,11108194.13825,37389,55794.498,4643162.46505
2026-04-28 15:00:00+00:00,83.41,83.51,83.22,83.46,65377.952,5452095.08761,21129,34137.106,2846820.15149
2026-04-28 16:00:00+00:00,83.46,83.69,83.32,83.59,57718.7,4819411.07421,17638,34587.492,2888343.61655
2026-04-28 17:00:00+00:00,83.58,83.81,83.37,83.61,44206.38,3696245.53143,14642,26381.967,2206185.63192
2026-04-28 18:00:00+00:00,83.61,83.83,83.59,83.81,38978.859,3262942.79536,12049,25265.694,2115131.07636
2026-04-28 19:00:00+00:00,83.81,84.02,83.7,83.89,34416.77,2886328.79966,12140,19125.999,1604329.74651
2026-04-28 20:00:00+00:00,83.89,83.99,83.78,83.79,27939.98,2343195.27942,9009,13324.662,1117630.54689
2026-04-28 21:00:00+00:00,83.78,83.95,83.62,83.73,39232.45,3287775.68196,10606,18494.883,1549823.15446
2026-04-28 22:00:00+00:00,83.73,83.99,83.58,83.72,67692.395,5670982.26883,11858,42135.713,3531115.68993
2026-04-28 23:00:00+00:00,83.72,84.15,83.65,84.06,87062.777,7305368.58126,12751,48572.789,4074962.0014
2026-04-29 00:00:00+00:00,84.06,84.19,83.82,84.07,106617.569,8956455.47746,15957,55741.398,4682623.0122
2026-04-29 01:00:00+00:00,84.06,84.22,83.81,84.1,33665.298,2827488.47607,13154,17926.913,1505826.82148
2026-04-29 02:00:00+00:00,84.1,84.22,83.93,84.06,26097.629,2194087.15204,8321,11810.741,993066.73009
2026-04-29 03:00:00+00:00,84.05,84.74,84.05,84.59,71307.94,6020898.70021,18895,39844.023,3365789.48548
2026-04-29 04:00:00+00:00,84.6,85.06,84.45,84.95,79560.488,6744652.81235,19427,49530.438,4199303.41287
2026-04-29 05:00:00+00:00,84.96,85.0,84.71,84.85,66751.668,5662590.99921,14857,33366.897,2830834.93345
2026-04-29 06:00:00+00:00,84.84,85.0,84.54,84.63,74304.658,6299940.4959,12000,26950.86,2285065.17613
2026-04-29 07:00:00+00:00,84.63,84.86,84.6,84.71,55474.771,4699320.92687,11101,25342.12,2146997.91974
2026-04-29 08:00:00+00:00,84.71,84.75,84.36,84.52,44525.874,3764038.70285,11968,21161.007,1789035.5727
2026-04-29 09:00:00+00:00,84.51,85.56,83.2,85.29,281886.947,23969478.2008,42841,110836.151,9430655.55507
2026-04-29 10:00:00+00:00,85.3,85.55,85.13,85.14,123673.971,10560839.41696,23161,57806.184,4936488.37102
2026-04-29 11:00:00+00:00,85.14,85.16,84.8,84.91,127030.9,10794191.58919,16289,53085.454,4511260.66003
2026-04-29 12:00:00+00:00,84.91,84.92,83.93,84.24,164587.676,13870299.53898,31994,64999.983,5476704.65066
2026-04-29 13:00:00+00:00,84.24,84.28,83.65,84.0,109132.317,9163250.59055,35978,41889.702,3518208.6851
2026-04-29 14:00:00+00:00,84.01,84.05,83.65,83.85,85181.818,7144476.22242,25528,32670.273,2739984.56978
2026-04-29 15:00:00+00:00,83.85,83.93,83.0,83.26,207594.129,17294380.51966,42892,78821.03,6565556.12921
2026-04-29 16:00:00+00:00,83.25,83.65,82.97,83.13,110938.654,9233527.17866,25029,44470.597,3702447.2556
2026-04-29 17:00:00+00:00,83.14,83.37,82.74,83.36,94361.898,7835492.20723,26724,53837.89,4470743.51999
2026-04-29 18:00:00+00:00,83.36,83.44,81.4,82.3,381086.939,31226377.50436,95134,182637.618,14962761.53536
2026-04-29 19:00:00+00:00,82.3,82.36,82.0,82.19,98013.991,8054476.84449,25340,46315.519,3805888.19053
2026-04-29 20:00:00+00:00,82.2,82.81,82.17,82.62,87281.454,7196123.28266,24856,49125.962,4050244.71198
2026-04-29 21:00:00+00:00,82.62,83.22,82.52,82.91,71149.844,5896458.69899,18591,39374.184,3263290.07512
2026-04-29 22:00:00+00:00,82.91,83.13,82.81,83.07,38321.764,3180198.32053,10413,23778.675,1973390.1746
2026-04-29 23:00:00+00:00,83.07,83.11,82.82,83.04,37515.399,3113849.11228,10855,20678.25,1716491.24371
2026-04-30 00:00:00+00:00,83.05,84.01,83.05,83.81,135602.644,11324846.31599,33062,85084.712,7105888.36189
2026-04-30 01:00:00+00:00,83.8,84.0,83.66,83.75,60974.874,5112558.66638,20326,31379.357,2631299.29526
2026-04-30 02:00:00+00:00,83.75,83.96,82.7,82.98,87928.988,7321394.876,37985,40271.411,3353843.68102
2026-04-30 03:00:00+00:00,82.98,83.24,82.86,83.06,34343.423,2851269.17207,15370,22198.753,1842823.05248
2026-04-30 04:00:00+00:00,83.06,83.09,82.37,82.39,65352.698,5398488.61605,20428,28989.525,2395121.41014
2026-04-30 05:00:00+00:00,82.4,82.79,82.16,82.57,55332.06,4567922.4179,16259,32847.514,2712511.37206
2026-04-30 06:00:00+00:00,82.57,83.05,82.53,82.94,41984.122,3476592.85456,15133,21014.018,1740593.36615
2026-04-30 07:00:00+00:00,82.95,83.39,82.9,83.35,95647.335,7952063.19895,26386,44594.14,3708085.11574
2026-04-30 08:00:00+00:00,83.35,83.43,83.12,83.13,69631.313,5797911.99841,17621,35622.699,2966223.27539
2026-04-30 09:00:00+00:00,83.12,83.55,83.06,83.15,41720.703,3474341.13877,14430,22209.652,1850194.85983
2026-04-30 10:00:00+00:00,83.14,83.22,82.92,83.0,39540.488,3283130.0759,12092,19146.301,1590051.58454
2026-04-30 11:00:00+00:00,83.01,83.39,82.79,83.01,60285.662,5009104.58214,17441,31039.373,2580156.57289
2026-04-30 12:00:00+00:00,83.01,83.48,82.99,83.22,51331.05,4273177.86381,15856,30351.941,2526964.93899
2026-04-30 13:00:00+00:00,83.22,83.56,82.88,83.21,61084.358,5083187.89105,26506,28605.257,2381034.59431
2026-04-30 14:00:00+00:00,83.22,83.42,82.69,83.23,88355.98,7341462.78274,32698,39666.392,3295756.70608
2026-04-30 15:00:00+00:00,83.23,83.83,83.03,83.36,87142.858,7267547.1409,29551,45521.464,3797061.00001
2026-04-30 16:00:00+00:00,83.36,83.43,82.94,83.02,36573.768,3042221.59321,16465,16183.856,1346451.6355
2026-04-30 17:00:00+00:00,83.02,83.14,82.87,83.04,56559.868,4693858.3471,24558,38207.315,3170814.66424
2026-04-30 18:00:00+00:00,83.03,83.31,82.98,83.07,33383.341,2775463.91613,14054,21205.73,1763081.84302
2026-04-30 19:00:00+00:00,83.06,83.29,83.0,83.04,45383.691,3773046.2679,17833,30559.779,2540509.52043
2026-04-30 20:00:00+00:00,83.04,83.19,82.97,83.09,38846.046,3227924.2173,19707,26088.164,2167803.87546
2026-04-30 21:00:00+00:00,83.1,83.14,82.83,82.85,31868.216,2644624.61571,16647,18157.277,1506715.33397
2026-04-30 22:00:00+00:00,82.86,83.04,82.78,82.85,32161.667,2665769.06165,14221,17186.016,1424424.5761
2026-04-30 23:00:00+00:00,82.85,83.09,82.85,83.09,21556.458,1789191.6014,6901,9307.033,772499.44541
2026-05-01 00:00:00+00:00,83.09,83.41,83.08,83.2,51546.849,4291951.08287,18694,18138.6,1509990.48788
2026-05-01 01:00:00+00:00,83.2,83.69,83.19,83.61,59634.38,4978074.70241,19585,27148.952,2266352.89286
2026-05-01 02:00:00+00:00,83.62,83.84,83.45,83.63,64650.931,5408682.38074,13767,35543.144,2973887.46379
2026-05-01 03:00:00+00:00,83.62,84.38,83.56,83.89,87729.797,7372410.58529,29641,42129.499,3540083.47736
2026-05-01 04:00:00+00:00,83.9,84.06,83.69,83.82,47884.731,4017017.40174,13339,20248.798,1698840.75659
2026-05-01 05:00:00+00:00,83.81,84.23,83.74,84.05,78248.94,6578981.19326,13986,44779.759,3764857.10253
2026-05-01 06:00:00+00:00,84.06,84.18,83.69,83.85,40771.811,3424233.37492,12261,21002.329,1764023.23779
2026-05-01 07:00:00+00:00,83.86,83.97,83.67,83.96,122847.45,10296701.73729,15340,60889.577,5103607.24951
2026-05-01 08:00:00+00:00,83.96,84.3,83.9,84.18,54059.797,4547865.81855,12778,32258.641,2713597.94511
2026-05-01 09:00:00+00:00,84.18,84.19,83.89,83.97,63899.282,5369014.12002,13948,31478.275,2644330.12001
2026-05-01 10:00:00+00:00,83.96,84.08,83.69,83.95,60312.684,5058060.0665,13078,27561.404,2312097.11294
2026-05-01 11:00:00+00:00,83.96,84.22,83.87,84.01,36212.26,3041200.87065,11789,18710.533,1571487.09112
2026-05-01 12:00:00+00:00,84.01,84.59,83.92,84.27,116975.373,9862038.27726,25588,61004.757,5142281.51271
2026-05-01 13:00:00+00:00,84.27,84.86,84.24,84.6,145848.957,12323631.57512,31961,85173.496,7197576.58105
2026-05-01 14:00:00+00:00,84.61,84.73,83.89,84.22,138280.496,11658957.28261,30496,64066.792,5402815.0439
2026-05-01 15:00:00+00:00,84.21,84.62,84.01,84.47,116591.916,9830245.95421,25710,65995.863,5565486.35392
2026-05-01 16:00:00+00:00,84.46,84.63,83.98,83.99,115466.218,9731190.64521,24418,57926.366,4881898.41596
2026-05-01 17:00:00+00:00,83.99,84.28,83.92,84.23,49346.915,4149170.58981,15497,23019.64,1935653.24774
2026-05-01 18:00:00+00:00,84.23,84.31,83.98,83.99,40359.454,3395372.27753,12888,22095.838,1858829.8624
2026-05-01 19:00:00+00:00,83.99,84.07,83.79,83.9,60624.482,5086650.88529,20263,34351.375,2882459.26964
2026-05-01 20:00:00+00:00,83.9,83.93,83.33,83.49,92171.086,7710834.1595,21623,44594.638,3731522.77565
2026-05-01 21:00:00+00:00,83.48,83.8,83.41,83.72,46962.007,3927060.0931,14439,27837.255,2327587.05669
2026-05-01 22:00:00+00:00,83.72,83.89,83.57,83.75,32960.377,2760484.44482,10155,18513.685,1550648.30963
2026-05-01 23:00:00+00:00,83.74,83.9,83.56,83.76,74681.766,6253723.82437,11178,38368.465,3213181.85329
2026-05-02 00:00:00+00:00,83.76,83.87,83.44,83.82,61212.615,5118485.79073,11989,38138.143,3188788.04049
2026-05-02 01:00:00+00:00,83.83,84.05,83.77,84.03,25991.794,2180953.54664,8816,14482.106,1215263.12377
2026-05-02 02:00:00+00:00,84.04,84.18,83.86,83.95,49527.08,4160476.48705,11730,23294.467,1957059.13094
2026-05-02 03:00:00+00:00,83.94,83.98,83.7,83.82,29877.082,2504609.93848,8731,12085.005,1013220.99173
2026-05-02 04:00:00+00:00,83.82,83.83,83.56,83.64,37522.792,3139674.16228,9129,19808.255,1657498.16065
2026-05-02 05:00:00+00:00,83.64,83.75,83.54,83.7,25771.131,2155755.28441,8469,12825.242,1072981.78417
2026-05-02 06:00:00+00:00,83.71,83.85,83.58,83.82,21004.553,1758158.54151,7978,9918.699,830274.19801
2026-05-02 07:00:00+00:00,83.83,83.86,83.72,83.74,26716.019,2238159.77451,12560,7376.341,617994.92367
2026-05-02 08:00:00+00:00,83.73,83.89,83.64,83.85,29367.366,2460896.64767,9679,12510.746,1048097.28947
2026-05-02 09:00:00+00:00,83.85,84.17,83.83,84.0,70287.552,5904325.87395,16226,25622.66,2152497.41452
2026-05-02 10:00:00+00:00,84.01,84.01,83.87,83.95,21697.186,1821596.10243,8081,8252.649,692772.25092
2026-05-02 11:00:00+00:00,83.94,83.94,83.52,83.7,44369.801,3713398.98871,12755,21289.67,1781619.8418
2026-05-02 12:00:00+00:00,83.7,84.11,83.67,83.86,87564.944,7347179.46162,15247,46241.322,3879903.97519
2026-05-02 13:00:00+00:00,83.87,84.08,83.86,83.94,40917.139,3436063.38164,14070,16490.298,1384738.69256
2026-05-02 14:00:00+00:00,83.95,84.1,83.91,83.98,33210.793,2789657.34668,11261,19835.878,1666147.67619
2026-05-02 15:00:00+00:00,83.98,84.07,83.93,84.04,21754.158,1827241.33025,8255,11546.663,969886.30589
2026-05-02 16:00:00+00:00,84.04,84.28,84.02,84.2,50881.054,4280668.27882,15029,29641.88,2493803.17098
2026-05-02 17:00:00+00:00,84.2,84.21,84.0,84.05,23075.26,1940240.27629,9967,13866.23,1165890.12443
2026-05-02 18:00:00+00:00,84.04,84.22,83.95,84.19,37581.454,3159172.49564,9920,22707.984,1908831.8912
2026-05-02 19:00:00+00:00,84.2,84.31,84.17,84.22,18693.443,1574647.8634,7396,8705.888,733389.75036
2026-05-02 20:00:00+00:00,84.23,84.23,84.09,84.18,20752.4,1746726.35149,9624,11813.995,994456.0761
2026-05-02 21:00:00+00:00,84.19,84.97,84.15,84.55,103689.076,8773881.02367,28480,61436.016,5198646.63475
2026-05-02 22:00:00+00:00,84.55,84.64,84.07,84.46,67579.887,5698797.46852,16643,36057.746,3040235.84995
2026-05-02 23:00:00+00:00,84.45,84.51,84.22,84.26,78714.92,6640659.56079,10988,38654.235,3260481.55333
2026-05-03 00:00:00+00:00,84.26,84.31,83.83,84.08,101338.345,8515558.15785,23027,60907.985,5118778.48215
2026-05-03 01:00:00+00:00,84.08,84.08,83.72,83.75,58510.077,4905531.97076,18635,32486.75,2723606.84591
2026-05-03 02:00:00+00:00,83.74,83.81,83.6,83.66,52438.389,4388632.22079,13668,27106.031,2268593.32022
2026-05-03 03:00:00+00:00,83.66,83.74,83.58,83.67,34615.225,2895261.48499,7277,10117.132,846268.97499
2026-05-03 04:00:00+00:00,83.66,83.76,83.58,83.7,32617.709,2729087.14534,10188,21086.252,1764370.18598
2026-05-03 05:00:00+00:00,83.7,83.86,83.67,83.76,21761.705,1822948.68474,7745,10893.92,912680.31257
2026-05-03 06:00:00+00:00,83.75,83.88,83.6,83.76,18777.997,1572018.66033,6861,10135.99,848497.53779
2026-05-03 07:00:00+00:00,83.76,84.02,83.75,83.88,64858.189,5444683.90193,16137,29489.917,2475596.06978
2026-05-03 08:00:00+00:00,83.88,84.03,83.83,83.9,22629.474,1899389.85283,8992,10300.428,864543.27634
2026-05-03 09:00:00+00:00,83.89,84.11,83.88,84.06,41813.889,3512776.84417,12636,21431.498,1800342.39211
2026-05-03 10:00:00+00:00,84.06,84.06,83.82,83.83,29559.325,2482229.29962,11324,8981.878,754028.68264
2026-05-03 11:00:00+00:00,83.82,84.2,83.75,83.96,69335.383,5822461.75671,12996,41845.815,3514524.40373
2026-05-03 12:00:00+00:00,83.96,84.24,83.95,84.11,48345.212,4066937.22434,16090,20543.372,1728168.56405
2026-05-03 13:00:00+00:00,84.11,84.22,83.99,84.1,31560.695,2654435.75445,11179,17884.437,1504075.68088
2026-05-03 14:00:00+00:00,84.1,84.45,84.1,84.37,64998.685,5478216.98192,18172,35670.157,3006016.3393
2026-05-03 15:00:00+00:00,84.37,84.44,84.11,84.16,54564.086,4598118.71015,13118,26747.874,2253804.17541
2026-05-03 16:00:00+00:00,84.16,84.29,84.01,84.14,31005.07,2608272.59899,10621,14318.07,1204492.461
