datetime,funding_time,funding_rate,mark_price
2026-06-09 03:53,1780977180458,-2.985e-05,42.41
2026-06-09 03:53,1780977180465,-2.985e-05,42.41
2026-06-09 04:17,1780978629012,-2.57e-05,42.56
2026-06-09 04:17,1780978629041,-2.57e-05,42.56
2026-06-09 04:19,1780978786709,-2.479e-05,42.51
2026-06-09 04:19,1780978786738,-2.479e-05,42.51
2026-06-09 04:33,1780979621484,-3.124e-05,42.60153922
2026-06-09 04:33,1780979623838,-3.124e-05,42.60153922
2026-06-09 04:39,1780979993289,-2.711e-05,42.92128431
2026-06-09 04:39,1780979995493,-2.711e-05,42.92128431
2026-06-09 04:51,1780980667479,-2.703e-05,42.93
2026-06-09 04:51,1780980669692,-2.703e-05,42.93
2026-06-09 04:57,1780981076671,-2.766e-05,42.84
2026-06-09 04:57,1780981078778,-2.766e-05,42.84
2026-06-09 05:58,1780984694384,-3.042e-05,42.9
2026-06-09 06:58,1780988309503,-4.104e-05,42.89
2026-06-09 07:58,1780991924454,-2.355e-05,42.8757451
2026-06-09 08:58,1780995539786,-6e-06,42.67753922
2026-06-09 09:59,1780999163930,-1.012e-05,42.43
2026-06-09 10:59,1781002778349,-9.88e-06,42.43
2026-06-09 11:06,1781003175250,-1.251e-05,42.36
2026-06-09 11:06,1781003177457,-1.251e-05,42.36
2026-06-09 11:09,1781003388956,-1.161e-05,42.41
2026-06-09 11:09,1781003391165,-1.161e-05,42.41
2026-06-09 12:10,1781007010451,-2.067e-05,42.62
2026-06-09 13:10,1781010629882,-5.141e-05,42.74
2026-06-09 14:10,1781014248400,-8.037e-05,42.57
2026-06-09 15:11,1781017868753,-8.028e-05,42.5249902
2026-06-09 16:11,1781021491167,-6.191e-05,42.03
2026-06-09 17:11,1781025110810,-1.576e-05,42.40520284
2026-06-09 18:12,1781028730238,-2.618e-05,42.87
2026-06-09 19:12,1781032349467,-5.622e-05,43.1
2026-06-09 20:12,1781035971671,-8.788e-05,43.36045098
2026-06-09 21:13,1781039591721,-0.00011125,43.43737255
2026-06-09 22:13,1781043210374,-0.00010143,43.14
2026-06-09 23:13,1781046829979,-6.126e-05,42.97
2026-06-10 00:14,1781050451910,-3.3e-07,43.12
2026-06-10 01:14,1781054070796,4.263e-05,43.1
2026-06-10 02:14,1781057689306,6.444e-05,42.8
2026-06-10 03:15,1781061307826,7.319e-05,42.6
2026-06-10 04:15,1781064933236,7.092e-05,42.68206863
2026-06-10 05:15,1781068553051,5.426e-05,42.29498039
2026-06-10 06:16,1781072172011,4.048e-05,42.47
2026-06-10 07:16,1781075790379,4.686e-05,42.43
2026-06-21 09:18,1782033508015,-6.864e-05,44.79
