date,close,volume_usdt,approx_mcap,vol_mcap_ratio,pct_change_1d,trades
2026-04-28,84.06,64210835.60198,39508200000.0,0.001625253380361039,0.0,207241
2026-04-29,83.04,215702892.97072,39028800000.0,0.0055267621082564665,-1.2134189864382527,581305
2026-04-30,83.09,114147099.21202,39052300000.0,0.0029229289750416746,0.060211946050103826,481530
2026-05-01,83.76,151073553.34307,39367200000.0,0.003837548856486364,0.8063545553014917,432422
2026-05-02,84.26,86371425.97718,39602200000.0,0.0021809754502825603,0.5969436485195878,283023
2026-05-03,83.91,106740859.1955,39437700000.0,0.002706569074654455,-0.41538096368384236,341393
2026-05-04,84.1,293561075.29853,39527000000.0,0.007426849376338452,0.22643308306518062,757940
2026-05-05,86.29,211908510.33936,40556300000.0,0.005225045439040544,2.6040428061831378,520564
2026-05-06,89.16,308151763.87133,41905200000.0,0.0073535447598706135,3.3259937420326624,799669
2026-05-07,88.42,256798285.69353,41557400000.0,0.006179363619801287,-0.8299685957828595,829550
2026-05-08,92.01,237710210.22825,43244700000.0,0.0054968634359412825,4.060167382945035,780119
2026-05-09,93.13,184273334.88941,43771100000.0,0.0042099315504844515,1.2172589935876443,591555
2026-05-10,96.47,242180573.08508998,45340900000.0,0.005341326993621432,3.5863846236443786,795120
2026-05-11,97.37,295699382.12628,45763900000.0,0.006461411333524459,0.932932517881202,1005178
2026-05-12,94.28,267797491.336,44311600000.0,0.006043507599274231,-3.1734620519667245,755594
2026-05-13,91.17,296684142.90225,42849900000.0,0.006923800123273333,-3.298684768773863,846316
2026-05-14,92.15,248759454.4034,43310500000.0,0.005743629244718948,1.0749149939673242,747394
2026-05-15,89.24,242000435.50568,41942800000.0,0.005769773012428355,-3.157894736842115,692037
2026-05-16,86.54,171166955.42498,40673800000.0,0.004208285319418889,-3.0255490811295305,478209
2026-05-17,85.24,164713788.40151,40062800000.0,0.004111389828007778,-1.502195516524163,480098
2026-05-18,85.38,234894720.11943,40128600000.0,0.005853548843454045,0.16424213984045366,781366
2026-05-19,84.29,140968974.00370002,39616300000.0,0.003558357898231284,-1.27664558444599,488954
2026-05-20,86.17,202352075.07971,40499900000.0,0.004996359869523382,2.2303950646577198,584791
2026-05-21,87.36,230197727.51692,41059200000.0,0.005606483504718066,1.380991064175463,565249
2026-05-22,84.4,190465397.24417,39668000000.0,0.004801487275490824,-3.3882783882783762,540819
2026-05-23,85.75,250189655.93753,40302500000.0,0.0062077949491354135,1.5995260663506983,602178
2026-05-24,85.27,178546179.16053998,40076900000.0,0.004455089569316489,-0.5597667638484016,442697
2026-05-25,85.06,133934038.93491,39978200000.0,0.003350176819739508,-0.24627653336459776,395894
2026-05-26,83.72,199494844.50827,39348400000.0,0.005069960773710494,-1.5753585704208817,578993
2026-05-27,82.44,177381689.48777,38746800000.0,0.004577970038500469,-1.5289058767319674,691460
2026-05-28,82.11,187780235.65195,38591700000.0,0.004865819221541161,-0.40029112081513274,853185
2026-05-29,82.04,169419195.71328,38558800000.0,0.004393788077255516,-0.08525149190109493,674991
2026-05-30,82.73,84139656.69554,38883100000.0,0.002163913286120191,0.8410531448074021,268631
2026-05-31,82.44,81945760.25686,38746800000.0,0.0021149039470836303,-0.3505378943551407,317381
2026-06-01,81.28,186789094.88171,38201600000.0,0.004889562083308291,-1.4070839398350299,701707
2026-06-02,74.23,280742777.63811,34888100000.0,0.008046949465236283,-8.673720472440937,1150607
2026-06-03,71.61,268846279.56846,33656700000.0,0.007987897790587312,-3.529570254614045,1261571
2026-06-04,68.88,342023023.17545,32373599999.999996,0.010564874563701598,-3.8123167155425297,1899749
2026-06-05,63.64,459201300.24767,29910800000.0,0.015352357685106049,-7.607433217189308,2696738
2026-06-06,62.2,222337240.8185,29234000000.0,0.007605433427464597,-2.2627278441231913,1364694
2026-06-07,66.5,190256045.84914,31255000000.0,0.006087219512050552,6.913183279742752,1086945
2026-06-08,66.82,203980500.89025,31405399999.999996,0.006495077308050527,0.4812030075187934,987258
2026-06-09,65.97,29881494.82689,31005900000.0,0.0009637357672859036,-1.2720742292726683,143802
